rank,symbol,earnings_date,time_of_day,from_date,to_date,from_close,to_close,pct_change
146,AME,2020-02-05,bmo,2020-02-05,2020-03-19,100.03,69.01,-31.01%
147,BEN,2020-01-30,bmo,2020-01-30,2020-03-13,26.21,18.11,-30.90%
148,PODD,2023-08-08,bmo,2023-08-08,2023-09-20,238.34,164.74,-30.88%
149,MLM,2020-02-11,bmo,2020-02-11,2020-03-25,262.76,182.07,-30.71%
150,UAL,2020-01-21,bmo,2020-01-21,2020-03-04,85.79,59.47,-30.68%
151,MSI,2020-02-06,amc,2020-02-07,2020-03-23,179.46,124.56,-30.59%
152,FISV,2020-02-04,amc,2020-02-05,2020-03-19,121.67,84.46,-30.58%
153,EXPE,2022-05-02,amc,2022-05-03,2022-06-15,150.31,104.41,-30.54%
154,TAP,2020-02-12,bmo,2020-02-12,2020-03-26,55.50,38.62,-30.41%
155,ECL,2020-02-18,amc,2020-02-19,2020-04-01,210.31,146.70,-30.25%
156,HOOD,2022-11-02,amc,2022-11-03,2022-12-16,12.33,8.61,-30.17%
157,ABBV,2020-02-07,bmo,2020-02-07,2020-03-23,92.29,64.50,-30.11%
158,NRG,2022-11-07,bmo,2022-11-07,2022-12-20,45.21,31.66,-29.97%
159,EXC,2020-02-11,bmo,2020-02-11,2020-03-25,35.18,24.64,-29.96%
160,CPT,2020-01-30,amc,2020-01-31,2020-03-16,112.43,78.80,-29.91%
161,HUM,2020-02-05,bmo,2020-02-05,2020-03-19,364.80,256.19,-29.77%
162,HSIC,2020-02-20,bmo,2020-02-20,2020-04-02,68.92,48.44,-29.72%
163,DD,2020-01-30,bmo,2020-01-30,2020-03-13,22.06,15.52,-29.65%
164,BALL,2020-02-06,bmo,2020-02-06,2020-03-20,78.00,54.89,-29.63%
165,MU,2024-06-26,amc,2024-06-27,2024-08-09,132.23,93.08,-29.61%
166,NCLH,2022-05-10,bmo,2022-05-10,2022-06-23,16.21,11.46,-29.30%
167,WRB,2020-01-28,amc,2020-01-29,2020-03-12,32.33,22.87,-29.26%
168,NCLH,2021-11-03,bmo,2021-11-03,2021-12-16,27.32,19.34,-29.21%
169,PM,2020-02-06,bmo,2020-02-06,2020-03-20,86.18,61.09,-29.11%
170,CVS,2024-11-06,bmo,2024-11-06,2024-12-19,61.61,43.78,-28.94%
171,CAT,2020-01-31,bmo,2020-01-31,2020-03-16,131.35,93.41,-28.88%
172,CMI,2020-02-04,amc,2020-02-05,2020-03-19,166.43,118.55,-28.77%
173,MTCH,2023-01-31,amc,2023-02-01,2023-03-16,51.41,36.62,-28.77%
174,WSM,2022-08-24,amc,2022-08-25,2022-10-07,83.00,59.23,-28.64%
175,EL,2020-02-06,bmo,2020-02-06,2020-03-20,211.53,151.00,-28.62%
176,QCOM,2020-02-05,bmo,2020-02-05,2020-03-19,90.91,65.00,-28.50%
177,GPN,2020-02-12,amc,2020-02-13,2020-03-27,202.73,144.96,-28.50%
178,SBUX,2020-01-28,amc,2020-01-29,2020-03-12,86.72,62.10,-28.39%
179,LHX,2020-02-04,amc,2020-02-05,2020-03-19,223.47,160.14,-28.34%
180,DASH,2021-11-09,amc,2021-11-10,2021-12-23,214.24,153.68,-28.27%
181,MAS,2020-02-11,bmo,2020-02-11,2020-03-25,47.53,34.12,-28.21%
