rank,symbol,earnings_date,time_of_day,from_date,to_date,from_close,to_close,pct_change
150,HCA,2024-10-25,bmo,2024-10-25,2024-12-09,363.55,318.50,-12.39%
151,DELL,2024-11-26,amc,2024-11-27,2025-01-14,124.38,109.06,-12.32%
152,NUE,2024-07-22,amc,2024-07-23,2024-09-04,161.55,141.71,-12.28%
153,MOH,2024-04-24,amc,2024-04-25,2024-06-07,352.30,309.56,-12.13%
154,HAL,2024-11-07,bmo,2024-11-07,2024-12-20,29.55,25.97,-12.12%
155,AMD,2024-10-29,amc,2024-10-30,2024-12-12,148.60,130.60,-12.11%
156,BA,2024-07-31,amc,2024-08-01,2024-09-13,178.31,156.77,-12.08%
157,ZBH,2024-05-02,amc,2024-05-03,2024-06-17,121.66,107.03,-12.03%
158,ACN,2024-03-21,bmo,2024-03-21,2024-05-03,345.03,303.71,-11.98%
159,LULU,2024-06-05,amc,2024-06-06,2024-07-22,323.03,285.00,-11.77%
160,OXY,2024-08-07,amc,2024-08-08,2024-09-20,58.53,51.64,-11.77%
161,PANW,2024-11-20,amc,2024-11-21,2025-01-07,198.85,175.51,-11.74%
162,CCL,2024-03-27,amc,2024-03-28,2024-05-10,16.34,14.43,-11.69%
163,CHTR,2024-07-26,bmo,2024-07-26,2024-09-09,367.62,324.84,-11.64%
164,SWKS,2024-07-30,amc,2024-07-31,2024-09-12,113.62,100.44,-11.60%
165,SLB,2024-04-19,bmo,2024-04-19,2024-06-03,49.85,44.07,-11.59%
166,XYZ,2024-05-02,bmo,2024-05-02,2024-06-14,70.30,62.15,-11.59%
167,DAY,2024-05-01,bmo,2024-05-01,2024-06-13,57.69,51.02,-11.56%
168,ALB,2024-11-06,amc,2024-11-07,2024-12-20,99.93,88.65,-11.29%
169,SMCI,2024-08-06,amc,2024-08-07,2024-09-19,49.27,43.72,-11.26%
170,IRM,2024-11-06,bmo,2024-11-06,2024-12-19,114.44,101.62,-11.20%
171,CRM,2024-12-03,amc,2024-12-04,2025-01-21,367.87,326.84,-11.15%
172,FANG,2024-11-04,amc,2024-11-05,2024-12-18,175.63,156.08,-11.13%
173,ARE,2024-10-21,amc,2024-10-22,2024-12-04,117.97,104.93,-11.05%
174,PFE,2024-10-29,amc,2024-10-30,2024-12-12,28.52,25.37,-11.04%
175,ROST,2024-03-05,amc,2024-03-06,2024-04-18,148.12,131.80,-11.02%
176,BLDR,2024-05-07,bmo,2024-05-07,2024-06-20,162.62,144.74,-10.99%
177,TAP,2024-04-30,bmo,2024-04-30,2024-06-12,57.26,50.98,-10.97%
178,ORCL,2024-12-09,amc,2024-12-10,2025-01-27,177.74,158.28,-10.95%
179,XEL,2024-01-25,amc,2024-01-26,2024-03-11,59.39,52.91,-10.91%
180,CRWD,2024-06-04,amc,2024-06-05,2024-07-19,342.18,304.96,-10.88%
181,DAL,2024-07-11,bmo,2024-07-11,2024-08-22,44.99,40.14,-10.78%
182,CRWD,2024-03-05,amc,2024-03-06,2024-04-18,329.57,294.10,-10.76%
183,SWK,2024-10-29,bmo,2024-10-29,2024-12-11,93.89,83.80,-10.75%
184,CDNS,2024-07-22,bmo,2024-07-22,2024-09-03,287.08,256.28,-10.73%
