rank,symbol,year,quarter,earnings_date,category,session,predicted,confidence,confidence_normalized,csv_t30_change,t30_actual,hit_result,status,elapsed_seconds,from_date,to_date,from_close,to_close,tag_financials,tag_past,tag_peers,main_summary,notes_financials,notes_past,notes_peers,raw_output,error
178,AFL,2024,3,2024-10-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,93.2,,,,,N/A,N/A,N/A,,,,,,
179,ALB,2020,4,2021-02-18,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,108.3,,,,,N/A,N/A,N/A,,,,,,
180,UNH,2023,2,2023-07-14,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
181,MOS,2020,2,2020-08-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,97.2,,,,,N/A,N/A,N/A,,,,,,
182,ORCL,2020,4,2020-06-17,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,94.7,,,,,N/A,N/A,N/A,,,,,,
183,BLDR,2021,1,2021-05-10,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
184,PSA,2025,1,2025-05-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,147.2,,,,,N/A,N/A,N/A,,,,,,
185,EQIX,2023,2,2023-08-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
186,TDG,2023,3,2023-08-08,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,104.2,,,,,N/A,N/A,N/A,,,,,,
187,WELL,2024,1,2024-04-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,103.2,,,,,N/A,N/A,N/A,,,,,,
188,HUBB,2024,1,2024-04-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,102.5,,,,,N/A,N/A,N/A,,,,,,
189,EG,2024,3,2024-10-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,97.5,,,,,N/A,N/A,N/A,,,,,,
190,IEX,2025,2,2025-07-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,90.7,,,,,N/A,N/A,N/A,,,,,,
191,IR,2024,1,2024-05-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,106.7,,,,,N/A,N/A,N/A,,,,,,
192,HIG,2024,2,2024-07-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,107.2,,,,,N/A,N/A,N/A,,,,,,
193,KLAC,2022,2,2022-01-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,113.9,,,,,N/A,N/A,N/A,,,,,,
194,ALLE,2021,2,2021-07-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,89.5,,,,,N/A,N/A,N/A,,,,,,
195,FDS,2024,1,2023-12-19,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,102.4,,,,,N/A,N/A,N/A,,,,,,
196,EQIX,2024,4,2025-02-13,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,154.3,,,,,N/A,N/A,N/A,,,,,,
197,ADBE,2023,1,2023-03-16,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
198,SMCI,2020,1,2019-11-15,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
199,BKNG,2023,1,2023-05-05,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
200,AVB,2022,1,2022-04-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
201,SPG,2023,2,2023-08-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
202,NDAQ,2023,4,2024-01-31,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,105.4,,,,,N/A,N/A,N/A,,,,,,
203,MAA,2022,4,2023-02-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
204,RF,2025,2,2025-07-18,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,102.4,,,,,N/A,N/A,N/A,,,,,,
205,COF,2020,4,2021-01-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
206,IEX,2023,4,2024-02-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,124.6,,,,,N/A,N/A,N/A,,,,,,
207,WY,2023,2,2023-07-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.8,,,,,N/A,N/A,N/A,,,,,,
208,ADM,2025,1,2025-05-06,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,97.3,,,,,N/A,N/A,N/A,,,,,,
209,FIS,2022,1,2022-05-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,92.6,,,,,N/A,N/A,N/A,,,,,,
210,C,2022,1,2022-04-14,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,121.9,,,,,N/A,N/A,N/A,,,,,,
211,LIN,2025,2,2025-08-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,140.7,,,,,N/A,N/A,N/A,,,,,,
212,FFIV,2023,4,2023-10-25,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,686.8,,,,,N/A,N/A,N/A,,,,,,
213,ADSK,2023,3,2022-11-23,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
214,TMUS,2020,4,2021-02-05,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,713.6,,,,,N/A,N/A,N/A,,,,,,
215,CF,2023,4,2024-02-15,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,138.4,,,,,N/A,N/A,N/A,,,,,,
216,MMM,2024,1,2024-04-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,114.7,,,,,N/A,N/A,N/A,,,,,,
217,NUE,2022,1,2022-04-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.5,,,,,N/A,N/A,N/A,,,,,,
218,SRE,2020,1,2020-05-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,133.8,,,,,N/A,N/A,N/A,,,,,,
219,CDNS,2021,3,2021-10-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,102.6,,,,,N/A,N/A,N/A,,,,,,
220,ON,2024,1,2024-04-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,114.6,,,,,N/A,N/A,N/A,,,,,,
221,IVZ,2023,1,2023-04-25,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
222,INTU,2025,1,2024-11-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,108.3,,,,,N/A,N/A,N/A,,,,,,
223,CB,2024,4,2025-01-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,108.2,,,,,N/A,N/A,N/A,,,,,,
224,AXON,2022,1,2022-05-11,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,96.1,,,,,N/A,N/A,N/A,,,,,,
225,WM,2021,1,2021-04-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,121.7,,,,,N/A,N/A,N/A,,,,,,
226,EVRG,2025,2,2025-08-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,121.5,,,,,N/A,N/A,N/A,,,,,,
227,FOXA,2023,4,2023-08-08,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,92.6,,,,,N/A,N/A,N/A,,,,,,
228,WMT,2022,2,2021-08-17,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,119.3,,,,,N/A,N/A,N/A,,,,,,
229,WM,2024,4,2025-01-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,119.4,,,,,N/A,N/A,N/A,,,,,,
230,AMAT,2025,1,2025-02-14,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,118.8,,,,,N/A,N/A,N/A,,,,,,
231,IDXX,2021,4,2022-02-02,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,31.9,,,,,N/A,N/A,N/A,,,,,,Agentic RAG pipeline failure: 'str' object has no attribute 'choices'
232,DXCM,2020,4,2021-02-11,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,140.3,,,,,N/A,N/A,N/A,,,,,,
233,PG,2025,1,2024-10-18,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,107.5,,,,,N/A,N/A,N/A,,,,,,
234,HPE,2025,1,2025-03-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,107.7,,,,,N/A,N/A,N/A,,,,,,
235,TXT,2023,1,2023-04-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
236,URI,2024,2,2024-07-25,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,118.1,,,,,N/A,N/A,N/A,,,,,,
237,TMO,2024,1,2024-04-24,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,102.4,,,,,N/A,N/A,N/A,,,,,,
238,PFE,2020,4,2021-02-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,107.7,,,,,N/A,N/A,N/A,,,,,,
239,EL,2022,1,2021-11-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,91.8,,,,,N/A,N/A,N/A,,,,,,
240,AZO,2023,2,2023-02-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.4,,,,,N/A,N/A,N/A,,,,,,
241,LEN,2021,2,2021-06-17,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,129.2,,,,,N/A,N/A,N/A,,,,,,
242,INVH,2024,3,2024-11-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,129.3,,,,,N/A,N/A,N/A,,,,,,
243,DOW,2024,4,2025-01-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,101.4,,,,,N/A,N/A,N/A,,,,,,
244,D,2024,4,2025-02-12,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,124.1,,,,,N/A,N/A,N/A,,,,,,
245,CL,2021,3,2021-10-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,106.6,,,,,N/A,N/A,N/A,,,,,,
246,VST,2025,1,2025-05-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,94.1,,,,,N/A,N/A,N/A,,,,,,
247,GD,2022,2,2022-07-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,106.8,,,,,N/A,N/A,N/A,,,,,,
248,NXPI,2020,3,2020-10-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,112.9,,,,,N/A,N/A,N/A,,,,,,
249,PHM,2024,4,2025-01-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,103.3,,,,,N/A,N/A,N/A,,,,,,
250,INCY,2021,3,2021-11-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,108.2,,,,,N/A,N/A,N/A,,,,,,
251,SOLV,2024,2,2024-08-12,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.9,,,,,N/A,N/A,N/A,,,,,,
252,ODFL,2024,1,2024-04-24,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.7,,,,,N/A,N/A,N/A,,,,,,
253,COF,2022,4,2023-01-25,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,118.4,,,,,N/A,N/A,N/A,,,,,,
254,AZO,2020,3,2020-05-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,105.8,,,,,N/A,N/A,N/A,,,,,,
255,OXY,2024,1,2024-05-09,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,125.6,,,,,N/A,N/A,N/A,,,,,,
256,CL,2022,3,2022-10-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,102.6,,,,,N/A,N/A,N/A,,,,,,
257,ICE,2023,1,2023-05-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.6,,,,,N/A,N/A,N/A,,,,,,
258,SHW,2020,4,2021-01-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,140.1,,,,,N/A,N/A,N/A,,,,,,
259,C,2024,3,2024-10-15,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,130.0,,,,,N/A,N/A,N/A,,,,,,
260,JBL,2024,3,2024-06-20,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,130.4,,,,,N/A,N/A,N/A,,,,,,
261,MAR,2023,2,2023-08-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.8,,,,,N/A,N/A,N/A,,,,,,
262,ALLE,2020,2,2020-07-23,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,112.0,,,,,N/A,N/A,N/A,,,,,,
263,NTAP,2021,4,2021-06-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,119.9,,,,,N/A,N/A,N/A,,,,,,
264,GILD,2024,4,2025-02-12,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,143.0,,,,,N/A,N/A,N/A,,,,,,
265,DVA,2023,4,2024-02-14,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,126.2,,,,,N/A,N/A,N/A,,,,,,
266,CPT,2025,2,2025-08-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,116.9,,,,,N/A,N/A,N/A,,,,,,
267,PLD,2022,3,2022-10-19,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,115.8,,,,,N/A,N/A,N/A,,,,,,
268,EXR,2025,1,2025-04-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,106.4,,,,,N/A,N/A,N/A,,,,,,
269,EW,2021,4,2022-01-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,141.5,,,,,N/A,N/A,N/A,,,,,,
270,ES,2024,3,2024-11-05,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,118.9,,,,,N/A,N/A,N/A,,,,,,
271,COP,2023,3,2023-11-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,1.1,,,,,N/A,N/A,N/A,,,,,,
272,IEX,2024,3,2024-10-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,140.9,,,,,N/A,N/A,N/A,,,,,,
273,AOS,2020,3,2020-10-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,104.2,,,,,N/A,N/A,N/A,,,,,,
274,VICI,2021,2,2021-07-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,106.1,,,,,N/A,N/A,N/A,,,,,,
275,STLD,2024,2,2024-07-18,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,115.0,,,,,N/A,N/A,N/A,,,,,,
276,PODD,2021,1,2021-05-10,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.7,,,,,N/A,N/A,N/A,,,,,,
277,PRU,2024,4,2025-02-05,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,123.7,,,,,N/A,N/A,N/A,,,,,,
278,BAX,2023,1,2023-04-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.7,,,,,N/A,N/A,N/A,,,,,,
279,ROP,2021,4,2022-02-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,99.3,,,,,N/A,N/A,N/A,,,,,,
280,MMC,2021,4,2022-01-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,122.1,,,,,N/A,N/A,N/A,,,,,,
281,AIG,2021,2,2021-08-06,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,115.7,,,,,N/A,N/A,N/A,,,,,,
282,SWK,2023,3,2023-10-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,117.2,,,,,N/A,N/A,N/A,,,,,,
283,CHD,2021,1,2021-04-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,99.7,,,,,N/A,N/A,N/A,,,,,,
284,DD,2023,3,2023-11-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.6,,,,,N/A,N/A,N/A,,,,,,
285,RJF,2021,3,2021-10-21,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,135.5,,,,,N/A,N/A,N/A,,,,,,
286,HLT,2023,2,2023-07-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.7,,,,,N/A,N/A,N/A,,,,,,
287,CSGP,2024,4,2025-02-19,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,119.3,,,,,N/A,N/A,N/A,,,,,,
288,J,2024,1,2024-02-06,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,131.4,,,,,N/A,N/A,N/A,,,,,,
289,HPQ,2021,3,2021-08-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,97.1,,,,,N/A,N/A,N/A,,,,,,
290,ORLY,2024,1,2024-04-25,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,129.1,,,,,N/A,N/A,N/A,,,,,,
291,WDC,2025,2,2025-01-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,120.6,,,,,N/A,N/A,N/A,,,,,,
292,CMI,2021,1,2021-02-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,111.5,,,,,N/A,N/A,N/A,,,,,,
293,VST,2023,3,2023-11-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,140.2,,,,,N/A,N/A,N/A,,,,,,
294,BAX,2021,3,2021-07-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,148.3,,,,,N/A,N/A,N/A,,,,,,
295,IVZ,2022,1,2022-04-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,143.2,,,,,N/A,N/A,N/A,,,,,,
296,CHD,2023,2,2023-07-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.7,,,,,N/A,N/A,N/A,,,,,,
297,ETR,2021,3,2021-11-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,112.5,,,,,N/A,N/A,N/A,,,,,,
298,TKO,2024,2,2024-08-09,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,132.3,,,,,N/A,N/A,N/A,,,,,,
299,FDX,2022,2,2021-12-17,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,149.2,,,,,N/A,N/A,N/A,,,,,,
300,UAL,2024,2,2024-07-18,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,113.2,,,,,N/A,N/A,N/A,,,,,,
301,INVH,2024,4,2025-02-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,110.2,,,,,N/A,N/A,N/A,,,,,,
302,CAT,2020,4,2021-01-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.7,,,,,N/A,N/A,N/A,,,,,,
303,HSIC,2024,1,2024-05-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,116.2,,,,,N/A,N/A,N/A,,,,,,
304,TSLA,2023,1,2023-04-20,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.8,,,,,N/A,N/A,N/A,,,,,,
305,NTRS,2024,2,2024-07-17,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,111.4,,,,,N/A,N/A,N/A,,,,,,
306,GOOGL,2023,3,2023-10-25,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.7,,,,,N/A,N/A,N/A,,,,,,
307,CDNS,2020,4,2021-02-23,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,135.4,,,,,N/A,N/A,N/A,,,,,,
308,CBRE,2023,3,2023-10-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.8,,,,,N/A,N/A,N/A,,,,,,
309,FICO,2024,1,2024-01-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.7,,,,,N/A,N/A,N/A,,,,,,
310,ELV,2023,1,2023-04-19,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.7,,,,,N/A,N/A,N/A,,,,,,
311,ALGN,2020,4,2021-02-05,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,101.5,,,,,N/A,N/A,N/A,,,,,,
312,ROK,2022,3,2022-07-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,122.4,,,,,N/A,N/A,N/A,,,,,,
313,ETR,2025,2,2025-07-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,126.7,,,,,N/A,N/A,N/A,,,,,,
314,HOOD,2025,2,2025-08-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,121.7,,,,,N/A,N/A,N/A,,,,,,
315,CRL,2024,1,2024-05-09,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,146.5,,,,,N/A,N/A,N/A,,,,,,
316,TMUS,2020,2,2020-08-10,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,122.2,,,,,N/A,N/A,N/A,,,,,,
317,RJF,2020,2,2020-05-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,130.3,,,,,N/A,N/A,N/A,,,,,,
318,D,2023,3,2023-11-03,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,1.0,,,,,N/A,N/A,N/A,,,,,,
319,ACN,2024,4,2024-09-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,130.1,,,,,N/A,N/A,N/A,,,,,,
320,KHC,2021,2,2021-08-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,101.1,,,,,N/A,N/A,N/A,,,,,,
321,GD,2021,1,2021-04-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,122.0,,,,,N/A,N/A,N/A,,,,,,
322,GLW,2021,4,2022-01-26,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,138.4,,,,,N/A,N/A,N/A,,,,,,
323,ZBRA,2020,4,2021-02-11,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,126.0,,,,,N/A,N/A,N/A,,,,,,
324,HCA,2020,2,2020-07-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,110.1,,,,,N/A,N/A,N/A,,,,,,
325,TXN,2025,1,2025-04-24,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,121.1,,,,,N/A,N/A,N/A,,,,,,
326,CHTR,2021,2,2021-07-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,135.4,,,,,N/A,N/A,N/A,,,,,,
327,EIX,2020,2,2020-07-29,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,126.2,,,,,N/A,N/A,N/A,,,,,,
328,COST,2023,4,2023-09-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,144.8,,,,,N/A,N/A,N/A,,,,,,
329,HIG,2021,1,2021-04-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,100.4,,,,,N/A,N/A,N/A,,,,,,
330,PNW,2025,1,2025-05-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,139.9,,,,,N/A,N/A,N/A,,,,,,
331,GOOGL,2020,3,2020-10-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,84.9,,,,,N/A,N/A,N/A,,,,,,
332,PAYC,2021,2,2021-08-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,122.4,,,,,N/A,N/A,N/A,,,,,,
333,AOS,2022,3,2022-10-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,105.8,,,,,N/A,N/A,N/A,,,,,,
334,MET,2021,2,2021-08-05,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,135.2,,,,,N/A,N/A,N/A,,,,,,
335,PSX,2024,2,2024-07-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.6,,,,,N/A,N/A,N/A,,,,,,
336,CPT,2020,3,2020-10-30,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,99.0,,,,,N/A,N/A,N/A,,,,,,
337,LKQ,2024,3,2024-10-24,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,129.0,,,,,N/A,N/A,N/A,,,,,,
338,CHRW,2021,1,2021-04-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,138.4,,,,,N/A,N/A,N/A,,,,,,
339,POOL,2023,3,2023-10-19,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,123.6,,,,,N/A,N/A,N/A,,,,,,
340,MSCI,2025,1,2025-04-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,116.5,,,,,N/A,N/A,N/A,,,,,,
341,CDW,2025,1,2025-05-07,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,119.8,,,,,N/A,N/A,N/A,,,,,,
342,DVN,2023,4,2024-02-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.7,,,,,N/A,N/A,N/A,,,,,,
343,DHI,2023,2,2023-04-20,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.6,,,,,N/A,N/A,N/A,,,,,,
344,KMB,2024,3,2024-10-22,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,115.9,,,,,N/A,N/A,N/A,,,,,,
345,SWK,2023,4,2024-02-01,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,116.6,,,,,N/A,N/A,N/A,,,,,,
346,MDT,2020,3,2020-02-18,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,110.4,,,,,N/A,N/A,N/A,,,,,,
347,ROP,2023,2,2023-07-21,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.6,,,,,N/A,N/A,N/A,,,,,,
348,MRK,2024,4,2025-02-04,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,133.2,,,,,N/A,N/A,N/A,,,,,,
349,DLR,2023,1,2023-04-28,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.8,,,,,N/A,N/A,N/A,,,,,,
350,ORCL,2024,1,2023-09-12,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,109.0,,,,,N/A,N/A,N/A,,,,,,
351,CPT,2025,1,2025-05-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,127.9,,,,,N/A,N/A,N/A,,,,,,
352,FE,2023,2,2023-08-02,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.7,,,,,N/A,N/A,N/A,,,,,,
353,LKQ,2025,2,2025-07-24,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,116.1,,,,,N/A,N/A,N/A,,,,,,
354,DPZ,2023,2,2023-07-24,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,0.6,,,,,N/A,N/A,N/A,,,,,,
355,AOS,2021,4,2022-01-27,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,109.6,,,,,N/A,N/A,N/A,,,,,,
356,ADBE,2024,1,2024-03-15,RANDOM,AMC,N/A,0.0,0.0,,,NO_DATA,success,128.6,,,,,N/A,N/A,N/A,,,,,,
