rank,symbol,year,quarter,earnings_date,category,session,predicted,confidence,confidence_normalized,csv_t30_change,t30_actual,hit_result,status,elapsed_seconds,from_date,to_date,from_close,to_close,tag_financials,tag_past,tag_peers,main_summary,notes_financials,notes_past,notes_peers,raw_output,error
52,APD,2021,3,2021-08-09,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
53,WELL,2021,3,2021-11-05,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
54,PSA,2025,1,2025-05-01,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
55,AWK,2020,3,2020-11-05,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
56,IDXX,2021,2,2021-07-30,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
57,CTAS,2023,1,2022-09-28,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
58,TRGP,2023,1,2023-05-04,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
59,AMD,2020,1,2019-07-25,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
60,AFL,2022,4,2023-02-02,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
61,PLD,2024,1,2024-04-17,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
62,FAST,2023,3,2023-10-12,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
63,MRNA,2025,1,2025-05-01,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
64,NOW,2021,1,2021-04-30,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
65,BAC,2024,1,2024-04-16,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
66,F,2023,3,2023-10-27,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
67,PG,2024,3,2024-04-19,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
68,GRMN,2024,4,2025-02-19,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
69,KEYS,2024,3,2024-08-21,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
70,IPG,2024,1,2024-04-24,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
71,BX,2025,2,2025-07-24,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
72,HPQ,2022,1,2022-03-01,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
73,IT,2022,4,2023-02-07,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
74,EQIX,2021,2,2021-07-29,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
75,ULTA,2025,2,2025-08-29,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
76,UHS,2021,4,2022-02-25,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
77,MCD,2020,3,2020-11-09,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
78,VRSN,2022,3,2022-10-28,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
79,ETR,2024,1,2024-04-24,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
80,ESS,2021,1,2021-04-28,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
81,CBRE,2022,1,2022-05-05,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
82,TROW,2024,1,2024-04-26,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
83,COR,2024,4,2024-11-06,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
84,STX,2022,4,2022-07-22,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
85,SO,2024,3,2024-10-31,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
86,JKHY,2024,4,2024-08-21,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
87,INTC,2021,3,2021-10-22,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
88,JNJ,2021,4,2022-01-25,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
89,HRL,2021,3,2021-09-02,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
90,AFL,2025,2,2025-08-06,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
91,TECH,2022,1,2021-11-02,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
92,SRE,2025,1,2025-05-08,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
93,HLT,2020,1,2020-05-07,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
94,CTAS,2020,1,2019-09-26,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
95,OTIS,2022,1,2022-04-25,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
96,AXP,2022,4,2023-01-27,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
97,MA,2022,3,2022-10-27,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
98,MTCH,2022,3,2022-11-02,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
99,TRGP,2024,4,2025-02-20,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
100,TSN,2024,3,2024-08-05,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
101,HUBB,2025,1,2025-05-01,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
102,NCLH,2020,1,2020-05-14,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
103,ACGL,2020,2,2020-08-03,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
